,오늘의집상품URL,오늘의집상품이름,쿠팡상품URL,쿠팡상품이름,11번가상품URL,11번가상품이름,옥션상품URL,옥션상품이름
0,https://ohou.se/productions/182873/selling?affect_type=StoreSearchResult&affect_id=1,여인초 대형 테라조 화분세트_3sizes,coupang.com/vp/products/249318425?itemId=788670059&vendorItemId=4999927155,"에코플랜트 대형 개업 집들이 축화 화분[서울.경기 평일 당일배송(토요일 오후 일요일 주문건 월요일배송)] <지방배송불가 및 영종도 가평 강화도 배송불가>, 1개, 01. 금전수",https://www.11st.co.kr/products/1830180197?trTypeCd=21&trCtgrNo=585021,갑조네 공기정화식물 모음전 미세먼지제거 먼지먹는식물 실내공기정화 인테리어 화분,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B670014617,실내공기정화식물 모종식물 율마 아이비 몬스테라 
1,https://ohou.se/productions/493511/selling?affect_type=StoreSearchResult&affect_id=2,FRP 화분 대형식물 아레카야자 (120cm~) 실내공기정화식물 대형화분,coupang.com/vp/products/292125291?itemId=923633507&vendorItemId=5297291720,"그린테라피 수경재배식물 유리병 실내공기정화식물 수중식물키우기 DIYSET, 홍페페+어항",https://www.11st.co.kr/products/3918289740?trTypeCd=21&trCtgrNo=585021,BEST 실내 공기정화/습도/수경 식물 몬스테라 율마 산세베리아 안스리움 식물/화분/색상,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B254808929,토피어리 만들기 재료 실내공기정화식물 수태 만들기 
2,https://ohou.se/productions/247045/selling?affect_type=StoreSearchResult&affect_id=3,레몬오렌지 나무 이태리 토분set,coupang.com/vp/products/1736536362?itemId=2955866253&vendorItemId=70944371291,"프레쉬가든 공기정화 식물 스킨답서스 2p, 혼합색상, 1세트",https://www.11st.co.kr/products/1611527500?trTypeCd=21&trCtgrNo=585021,수경재배식물 실내공기정화식물 아이비 스킨답서스 개운죽 아레카야자 홍콩야자 산호수 알로카시아 여인초,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B529430130,BEST 관엽식물 개업화분 집들이 실내인테리어 꽃배달 
3,https://ohou.se/productions/1262952/selling?affect_type=StoreSearchResult&affect_id=4,1+1 실내공기정화식물 38종 자유선택 고급 테라코타 바소 토분 미니울타리증정,coupang.com/vp/products/308555979?itemId=972808671&vendorItemId=5384112073,"꽃피우는청년 천연가습기 실내공기정화식물 2종 세트 (테이블야자 홍콩야자), 유광 원형 화이트",https://www.11st.co.kr/products/3633061999?trTypeCd=21&trCtgrNo=585021,세라믹 무광 원형 화분 실내공기정화식물 세트,http://itempage3.auction.co.kr/DetailView.aspx?itemno=C305309133,실내공기정화식물 관엽 모종식물 플랜테리어 반려식물 
4,https://ohou.se/productions/349748/selling?affect_type=StoreSearchResult&affect_id=5,금전수_무광 원형 화분 실내공기정화식물 소형식물,coupang.com/vp/products/57608737?itemId=199684177&vendorItemId=3474693751,"갑조네 아이비 넝쿨 식물 화분 공기정화식물 생화, 청아이비",https://www.11st.co.kr/products/2655876009?trTypeCd=21&trCtgrNo=585021,이오난사 틸란드시아 공기정화식물 먼지먹는식물 실내인테리어,http://itempage3.auction.co.kr/DetailView.aspx?itemno=C361063957,공기정화식물모음 소엽풍란/실내공기정화 관엽 식물 
5,https://ohou.se/productions/493493/selling?affect_type=StoreSearchResult&affect_id=6,FRP 화분 대형식물 벵갈 뱅갈고무나무 실내공기정화식물 대형화분,coupang.com/vp/products/167216599?itemId=478807411&vendorItemId=4057157403,"갑조네 싱고니움 공기정화식물, 1개",https://www.11st.co.kr/products/3323804250?trTypeCd=21&trCtgrNo=585021,실내공기정화식물 모종 유칼립투스 율마 스투키 마오리소포라 코로키아 올리브나무 문샤인화분 키우기,http://itempage3.auction.co.kr/DetailView.aspx?itemno=C466937136,갑조네 다육식물 모음전 다육이 실내공기정화식물 
6,https://ohou.se/productions/493439/selling?affect_type=StoreSearchResult&affect_id=7,FRP 화분 대형식물 금전수 돈나무 실내공기정화식물 대형화분,coupang.com/vp/products/292125291?itemId=923633471&vendorItemId=5297291666,"그린테라피 수경재배식물 유리병 실내공기정화식물 수중식물키우기 DIYSET, 행운목+어항",https://www.11st.co.kr/products/2920225221?trTypeCd=21&trCtgrNo=585021,희귀 미니 연꽃  수경식물 실내식물  연꽃씨앗,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B551058818,(사은품증정) 수경식물 개운죽 미세먼지 실내습도 
7,https://ohou.se/productions/493488/selling?affect_type=StoreSearchResult&affect_id=8,FRP 화분 대형식물 몬스테라 실내공기정화식물 대형화분,coupang.com/vp/products/5359507118?itemId=7904015989&vendorItemId=75193387277,"식용허브식물 로즈마리 바질허브 애플민트 잉글리쉬 라벤더 페퍼민트 키우기 모종, 2.스피아민트(식물만)",https://www.11st.co.kr/products/2093077901?trTypeCd=21&trCtgrNo=585021,틸란 이오난사 틸란드시아 스투키 화분 하트호야 실내공기정화 미세먼지먹는식물 인테리어식물,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B566892532,중품 수경식물 DIY세트 실내공기정화식물 
8,https://ohou.se/productions/493498/selling?affect_type=StoreSearchResult&affect_id=9,FRP 화분 대형식물 소피아 고무나무 실내공기정화식물 대형화분,coupang.com/vp/products/4389615694?itemId=5200894788&vendorItemId=72510066027,"꽃피우는청년 실내에서 키우기 쉬운 공기정화식물 (무광 원형 화분 + 우드 스탠드), 화이트, 테이블야자",https://www.11st.co.kr/products/3747793983?trTypeCd=21&trCtgrNo=585021,마이플랜트 싱그러운 소형 식물 모종 몬스테라 실내공기정화 수경재배 여인초 알로카시아 홍콩야자 키우기,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B800294432,실내 재배 식물 성장등 생장등 조명 LED등 2헤드 
9,https://ohou.se/productions/993675/selling?affect_type=StoreSearchResult&affect_id=10,FRP 화분 대형식물 남천 단풍나무 실내공기정화식물,coupang.com/vp/products/5653912483?itemId=9260855586&vendorItemId=76546431112,"개운죽 10cm 20개/ 개운죽 10cm~60cm/행운목/수경식물/학습재료, 개운죽 20cm(20개)",https://www.11st.co.kr/products/3949184806?trTypeCd=21&trCtgrNo=585021,갑조네 아이비 모음전 청 하트 무늬 벽걸이 넝쿨식물 인테리어 실내공기정화,http://itempage3.auction.co.kr/DetailView.aspx?itemno=C348822629,수경식물)타라-테라리움용 실내 공기정화/헬로아쿠아 
