areaNo,time,condiCode,isDay,temp,humidity,humidInfo,rainRatio,snowRatio,uv,uvInfo
3100000000,2022-05-11 04:11,1006,0,13,71,현재 습도는 71%로 매우 습한 날씨입니다. 습한 환경에 약한 식물을 잘 보살펴 주세요.,,,1,자외선 지수는 1로 낮은 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 05:00,1003,0,13,69,,0,0,1,자외선 지수는 1로 낮은 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 06:00,1003,1,13,69,,0,0,4,자외선 지수는 4로 보통 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 07:00,1003,1,15,63,,0,0,4,자외선 지수는 4로 보통 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 08:00,1003,1,17,55,,0,0,5,자외선 지수는 5로 보통 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 09:00,1003,1,19,48,,0,0,5,자외선 지수는 5로 보통 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 10:00,1003,1,19,50,,0,0,5,자외선 지수는 5로 보통 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 11:00,1003,1,19,51,,0,0,5,자외선 지수는 5로 보통 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 12:00,1003,1,23,44,,0,0,6,자외선 지수는 6로 높은 수준입니다. 식물들도 자외선에 약하니 주의해주세요.
3100000000,2022-05-11 13:00,1003,1,23,44,,0,0,6,자외선 지수는 6로 높은 수준입니다. 식물들도 자외선에 약하니 주의해주세요.
3100000000,2022-05-11 14:00,1006,1,22,46,,0,0,5,자외선 지수는 5로 보통 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 15:00,1003,1,21,53,,0,0,6,자외선 지수는 6로 높은 수준입니다. 식물들도 자외선에 약하니 주의해주세요.
3100000000,2022-05-11 16:00,1000,1,21,58,,0,0,6,자외선 지수는 6로 높은 수준입니다. 식물들도 자외선에 약하니 주의해주세요.
3100000000,2022-05-11 17:00,1000,1,20,65,,0,0,5,자외선 지수는 5로 보통 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 18:00,1003,1,19,73,,0,0,5,자외선 지수는 5로 보통 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 19:00,1000,1,17,83,,0,0,5,자외선 지수는 5로 보통 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 20:00,1003,0,16,86,,0,0,1,자외선 지수는 1로 낮은 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 21:00,1000,0,16,87,,0,0,1,자외선 지수는 1로 낮은 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 22:00,1003,0,16,89,,0,0,1,자외선 지수는 1로 낮은 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-11 23:00,1009,0,16,91,,0,0,1,자외선 지수는 1로 낮은 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-12 00:00,1009,0,16,91,,0,0,1,자외선 지수는 1로 낮은 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-12 01:00,1009,0,17,92,,0,0,1,자외선 지수는 1로 낮은 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-12 02:00,1009,0,17,93,,0,0,1,자외선 지수는 1로 낮은 수준입니다. 식물들이 좋아하겠네요!
3100000000,2022-05-12 03:00,1030,0,16,96,,64,0,1,자외선 지수는 1로 낮은 수준입니다. 식물들이 좋아하겠네요!
