plCode,divName,eclgyName,height,area,flColor,flSeason,smellCode,lightDemand,place,toxic,levelCode,growSpeedCode,growTempCode,winterLowCode,humidityCode,springWtCode,summerWtCode,autumnWtCode,winterWtCode,speclManage
12962,잎&꽃보기식물,일반형,30,30,분홍색,봄,,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 ,발코니 내측 ,발코니 창측 ",,089002,090002,082002,057005,083002,053003,053003,053003,053003," "
13201,잎&꽃보기식물,일반형,30,30,"분홍색,빨강색,오렌지색,흰색","봄,여름,가을",079004,"높은 광도(1,500~10,000 Lux)","거실 창측 ,발코니 내측 ,발코니 창측 ",,089002,090001,082003,057005,083003,053002,053002,053003,053004,"1년 내내 꽃을 피워내는 귀한 식물이다.  실내, 실외 화단에 꼭 필요하며 생장속도가 빨라서 식물이 너무 무성해지면 통풍이 되지 않으므로 주의한다.  시든잎과 시든꽃잎은 자주 따 준다. "
12954,잎보기식물,"일반형,수경형",90,30,,,079004,"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 내측 ,거실 창측 ,발코니 내측 ,발코니 창측 ",있음,089001,090002,082002,057005,083002,053002,053002,053002,053003,"수경은 물주기가 필요 없으나, 화분은 1-2주에 한번씩 충분히 관수한다. 화분에 심을 경우에는 부드럽고 배수가 잘 되는 토양에 심음 ※ 개운죽은 관엽으로 분류되어 있지만 사실은 잎보다 잎이 떨어진 후 대나무처럼 보이는 줄기가 더욱 관상의 대상이 된다. 직선보다 곡선의 줄기가 필요한 경우에는 줄기를 곡선으로 유도할 수 있다."
12938,"잎&꽃보기식물,열매보기식물",일반형,15,25,"분홍색,흰색",여름,079002,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 ,발코니 내측 ,발코니 창측 ",,089002,090003,082002,057001,083002,053003,053003,053003,053004," 진달래과의 작은 관목으로 척박한 산성토양에서 잘 자라며 키는 20cm정도로 포복형이다.  암석정원에 잘 어울린다."
13203,잎보기식물,일반형,200,100,,,079004,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 ,발코니 내측 ,발코니 창측 ",있음,089001,090003,082001,057002,,053002,053002,053002,053003,실내의 불량한 환경에도 잘 견디며 생장이 더디며 많은 관리를 필요로 하지 않는다. 나한송은 잎이 잘 떨어지거나 누렇게 변하지 않고 늘 푸르러 공기정화 효과가 좋다. 잎이 반질거리고 잎을 감상하기에 좋은 식물이다. 나한송 솔잎 모양에 화려하지 않지만 음지에서도 비교적 잘 자리고 자라는 속도는 늦어 실내용품으로 많이 애용하고 있다.
13337,잎보기식물,일반형,200,100,,,079004,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 ,발코니 내측 ,발코니 창측 ",수액이 인체의 피부나 점막을 자극할 수 있다.,089001,090001,082003,057005,083002,053003,053003,053003,053004," 가지변이종으로 붉은 빛이 도는 짙은 녹색잎에, 뒷면 중륵과 잎자루가 붉은 갈색입니다. 열매는 긴 타원형이며 무화과같이 생기고 노란빛을 띤 녹색으로 성숙한다. 높이는 30cm이상 자라며, 털이 없고 잎과 줄기를 자르면 흰 즙이 나온다. 잎은 어긋나고 타원형이거나 긴 타원형이며, 어릴 때는 턱잎으로 싸이고 붉은빛을 띤다.  꽃은 6∼7월에 피는데, 잎겨드랑이에 1∼2개의 꽃차례로 핀다.  털이 없고 기근을 내린다. 잎과 줄기를 자르면 흰 즙이 나온다. 잎 표피 밑에 종유체가 있고, 꽃턱은 막질은 종이처럼 반투명 하다. 이 데코라고무나무의 변종으로 소피아고무나무가 있다."
12966,잎&꽃보기식물,일반형,50,50,"분홍색,흰색","봄,여름",079002,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 ,발코니 내측 ,발코니 창측 ",모기퇴치 식물,,,082002,057004,083002,053003,053003,053003,053004," "
12955,잎보기식물,일반형,100,50,,,079001,"높은 광도(1,500~10,000 Lux)","거실 창측 ,발코니 내측 ,발코니 창측 ",,089002,090002,082002,057004,083002,053003,053003,053003,053004,"겨울에는 건조하게 관리한다. 어린 나무일수록 물을 더 자주 준다. ※ Cupressus macrocarpa 품종 중에 'wilma', 'goldcrest' 등의 품종이 있는데, 우리가 사용하고 있는 율마라는 이름은 “wilma""에서 나온 것으로 생각된다. 따라서 율마라는 이름이 윌마로 교정되어야하지 않을까 고려된다.바람에 약하며 줄기 아랫부분의 잎이 떨어지면 황량한 느낌을 주지만 토피아리 형식으로 키울 수도 있다.크리스마스 트리로 실내에 장식하면 좋다."
13206,"잎보기식물,열매보기식물",일반형,150,100,"분홍색,흰색","봄,여름",079004,"높은 광도(1,500~10,000 Lux)","거실 창측 ,발코니 내측 ,발코니 창측 ",있음,089001,090002,082002,057002,083002,053003,053003,053003,053004,"분흙의 물빠짐이 좋아야 한다. 지나친 과습과 건조는 잎을  황화시켜 떨어지게 한다. 꽃, 열매, 잎, 단풍이 모두 아름답고 실내의 동양적인 분위기에 잘 어울린다. 성숙한 열매를 남천실이라 하며 해수, 천식, 백일해, 간기능장애 등에 약제로 사용한다."
12957,잎보기식물,일반형,300,100,흰색,여름,,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)","거실 창측 ,발코니 내측 ,발코니 창측 ",,089002,090002,082003,057005,083003,053003,053003,053003,053003," 포름알데히드, 벤젠, 톨루엔, 트리클로로 에틸렌"
