plCode,plName
12955,골드크레스트 윌마
12954,개운죽
13337,데코라고무나무
12957,공작야자
12962,관엽베고니아
12938,가울테리아
12963,관음죽
13201,꽃베고니아
13202,나도풍란
12966,구문초
14689,드라세나 마지나타
12972,구즈마니아
13203,나한송
18604,무늬푸밀라고무나무 
12974,군자란
13206,남천
18649,뮤렌베키아
14688,드라세나 드라코
13207,네마탄투스
12988,글레코마
13208,네오레겔리아
12990,금목서
18656,바위취
13338,덴파레
12994,금사철나무
13210,녹영
18659,박쥐란
13339,도깨비고비
12998,금식나무
13340,돈나무
13186,금전수
14663,동백
13196,금천죽
13218,뉴기니아봉선화
18692,반딧불털머위
13199,기누라
13333,대만고무나무
14674,둥근잎 아랄리아
14694,드라세나 송오브인디아
18694,백량금
14675,듀란타
14915,백정화
14916,백화등
14698,드라세나 트리컬러 레인보우
14919,벤자민고무나무
13335,더피고사리
14676,드라세나송오브자마이카
19449,산세베리아 골든 하니
13336,덕구리난
14687,드라세나와네끼
19448,산세베리아
16138,봉의꼬리
18602,무늬팻츠헤데라
18655,브리세아
19451,산호수
15828,벤자민고무나무 킹
18695,비젯티접란
15831,벵갈고무나무
18613,부겐빌레아
18697,비타툼접란
15835,병솔나무
18652,브룬펠시아
19452,삼색데코라고무나무
14690,드라세나 맛상게아나
16037,보스톤고사리
19455,새우란
14696,드라세나 자바
19460,세네시오 라디칸스
14691,드라세나 산데리아나
16245,멕시코소철
19453,상록넉줄고사리 후마타
14913,러브체인
18593,무늬쉐플레라홍콩
14920,렉스베고니아
16038,마란타 류코뉴라
14692,드라세나 산데리아나 세레스
18596,무늬알피니아
19457,석창포
16238,마삭줄
18597,무늬유카
15830,루모라고사리
14695,드라세나 수르쿨로사
16239,만년청
18599,무늬접란
14699,디지고데카
16034,루스커스
16241,만데빌라
17749,무늬관음죽
18600,무늬털머위
14700,디펜바키아 마리안느
14697,드라세나 콤팩타
16246,멜라니 고무나무
17750,무늬마삭줄
14911,떡갈잎 고무나무
18575,무늬산호수
16449,몬스테라
14713,디펜바키아 트로픽스노우
17751,무늬벤자민고무나무
16448,목베고니아
18576,무늬석창포
